id,rating,comment,Нравится скорость отработки заявок,Нравится качество выполнения заявки,Нравится качество работы сотрудников,Понравилось выполнение заявки,Вопрос решен,categories
2945792,5,спасибо,,,,,,['Вопрос решен']
3234340,5,спасибо!,,,,,,['Вопрос решен']
3380332,5,Отлично ,,,,,,['Нравится качество выполнения заявки']
3381812,5,Благодарю за оперативное решение проблемы ! ,,,,,,"['Понравилось выполнение заявки', 'Нравится скорость отработки заявок', 'Вопрос решен']"
3461991,5,Прекрасный специалист! Побольше таких,,,,,,"['Нравится качество работы сотрудников']
3551430,5,Спасибо ,,,,,,['Вопрос решен']
3584536,5,Спасибо за обновление покраски стен,,,,,,['Вопрос решен']
3596020,5,выполнили быстро,,,,,,['Нравится скорость отработки заявок']
3617808,5,Спасибо! ,,,,,,['Вопрос решен']
3627490,5,спасибо управляющей компании за то что  прислали грамотного специалиста и быстро отреагировали на заявку ,,,,,,"['Нравится скорость отработки заявок', 'Нравится качество выполнения заявки', 'Вопрос решен']"
3691620,5,Спасибо ,,,,,,['Вопрос решен']
3695420,5,Решили мой вопрос. Спасибо! ,,,,,,"['Понравилось выполнение заявки', 'Вопрос решен']"
3716702,5,Очень радует работа УК. Оперативно! Спасибо!,,,,,,"['Нравится скорость отработки заявок', 'Вопрос решен']"
3726842,5,Все исправили ,,,,,,['Понравилось выполнение заявки']
3745025,5,спасибо за оперативную работу ,,,,,,['Вопрос решен']
3749719,5,"Выполнили отлично , обработка заявки была слишком дорогой ",,,,,,['Нравится качество выполнения заявки']
3751364,5,спасибо большое! теперь не скрипят ,,,,,,['Вопрос решен']
3766183,5,спасибо,,,,,,['Вопрос решен']
3770102,5,Спасибо!,,,,,,['Вопрос решен']
3773834,1,Норм,,,,,,['Вопрос решен']
3791959,5,спасибо. все прошло очень хорошо,,,,,,"['Нравится качество выполнения заявки', 'Вопрос решен']"
3797804,5,"Спасибо, пришли все поменяли за 10 минут ",,,,,,"['Вопрос решен', 'Понравилось выполнение заявки', 'Нравится качество работы сотрудников']"
3799741,5,Все очень оперативно ,,,,,,['Нравится скорость отработки заявок']
3802024,5,Огромное спасибо.,,,,,,['Вопрос решен']
3805876,5,Все отлично! Спасибо.,,,,,,"['Нравится качество выполнения заявки', 'Вопрос решен']"
3812092,5,Хороший мастер,,,,,,['Нравится качество работы сотрудников']
3815412,5,"Спасибо за оперативность! "['Нравится скорость отработки заявок', 'Вопрос решен']"
3828569,5,"Все супер, Мастер 👍",,,,,,"['Нравится качество работы сотрудников', 'Нравится качество выполнения заявки']"
3829748,5,Благодарю ребят.,,,,,,['Вопрос решен']
3831509,5,Спасибо большое ,,,,,,['Вопрос решен']
3831883,5,спасибо,,,,,,['Вопрос решен']
3835748,5,Благодарю за проделанную работу! ,,,,,,['Вопрос решен']
3835874,5,"надеюсь причину устранили, а то после первого дождя будет тоже самое..",,,,,,['Вопрос решен']
3834081,5,Проблема  чётко.,,,,,,['Понравилось выполнение заявки']
