"annotation_id","annotator","categories","comment","created_at","id","lead_time","rating","updated_at","Вопрос решен","Нравится качество выполнения заявки","Нравится качество работы сотрудников","Нравится скорость отработки заявок","Понравилось выполнение заявки"
2372,"1","Вопрос решен","спасибо","2025-05-14T04:05:28.748534Z",2945792,0.719,5,"2025-05-14T04:05:28.748534Z","","","","",""
2371,"1","{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","спасибо!","2025-05-14T04:05:25.279014Z",3234340,0.842,5,"2025-05-14T04:05:25.279014Z","","","","",""
2370,"1","{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","Отлично ","2025-05-14T04:05:21.754296Z",3380332,13.448,5,"2025-05-14T04:05:21.754296Z","","","","",""
2369,"1","{""choices"":[""Нравится скорость отработки заявок"",""Понравилось выполнение заявки"",""Вопрос решен""]}","Благодарю за оперативное решение проблемы ! ","2025-05-14T04:05:05.715837Z",3381812,0.966,5,"2025-05-14T04:05:05.715837Z","","","","",""
2368,"1","{""choices"":[""Нравится качество работы сотрудников"",""Понравилось выполнение заявки"",""Вопрос решен""]}","Прекрасный специалист! Побольше таких","2025-05-14T04:05:01.185473Z",3461991,5.496,5,"2025-05-14T04:05:01.185473Z","","","","",""
2367,"1","Вопрос решен","Спасибо ","2025-05-14T04:04:53.039758Z",3551430,0.648,5,"2025-05-14T04:04:53.039758Z","","","","",""
2366,"1","{""choices"":[""Нравится скорость отработки заявок"",""Понравилось выполнение заявки"",""Вопрос решен""]}","пересчет, и скорость 
","2025-05-14T04:04:49.697512Z",3572768,3.481,1,"2025-05-14T04:04:49.697512Z","","","","",""
2365,"1","{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","Спасибо за обновление покраски стен","2025-05-14T04:04:43.566643Z",3584536,1.571,5,"2025-05-14T04:04:43.566643Z","","","","",""
2364,"1","{""choices"":[""Нравится скорость отработки заявок"",""Понравилось выполнение заявки"",""Вопрос решен""]}","выполнили быстро","2025-05-14T04:04:39.387401Z",3596020,1.091,5,"2025-05-14T04:04:39.388402Z","","","","",""
2363,"1","{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","Спасибо! ","2025-05-14T04:04:35.768465Z",3617808,0.744,5,"2025-05-14T04:04:35.768465Z","","","","",""
2362,"1","{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество работы сотрудников"",""Понравилось выполнение заявки"",""Вопрос решен""]}","спасибо управляющей компании за то что  прислали грамотного специалиста и быстро отреагировали на заявку ","2025-05-14T04:04:32.445889Z",3627490,1.537,5,"2025-05-14T04:04:32.445889Z","","","","",""
2361,"1","Вопрос решен","спасибо 
","2025-05-14T04:04:27.769396Z",3657819,1.45,5,"2025-05-14T04:04:27.769396Z","","","","",""
2360,"1","Вопрос решен","Спасибо ","2025-05-14T04:04:23.299306Z",3691620,1.282,5,"2025-05-14T04:04:23.299306Z","","","","",""
2359,"1","{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","Решили мой вопрос. Спасибо! ","2025-05-14T04:04:17.812701Z",3695420,13.435,5,"2025-05-14T04:04:17.812701Z","","","","",""
2358,"1","{""choices"":[""Нравится скорость отработки заявок"",""Понравилось выполнение заявки"",""Вопрос решен""]}","Очень радует работа УК. Оперативно! Спасибо!","2025-05-14T04:04:01.028905Z",3716702,1.927,5,"2025-05-14T04:04:01.028905Z","","","","",""
2357,"1","{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","Все исправили ","2025-05-14T04:03:56.197363Z",3726842,1.378,5,"2025-05-14T04:03:56.197363Z","","","","",""
2356,"1","{""choices"":[""Нравится скорость отработки заявок"",""Понравилось выполнение заявки"",""Вопрос решен""]}","спасибо за оперативную работу ","2025-05-14T04:03:52.288967Z",3745025,1.199,5,"2025-05-14T04:03:52.288967Z","","","","",""
2355,"1","{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","Выполнили отлично , обработка заявки была слишком дорогой ","2025-05-14T04:03:48.333764Z",3749719,3.866,5,"2025-05-14T04:03:48.334762Z","","","","",""
2354,"1","{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","спасибо большое! теперь не скрипят ","2025-05-14T04:03:40.188609Z",3751364,1.725,5,"2025-05-14T04:03:40.188609Z","","","","",""
2353,"1","Вопрос решен","спасибо","2025-05-14T04:03:35.286875Z",3766183,1.532,5,"2025-05-14T04:03:35.286875Z","","","","",""
2352,"1","{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","Спасибо!","2025-05-14T04:03:30.920818Z",3770102,0.71,5,"2025-05-14T04:03:30.920818Z","","","","",""
2351,"1","Вопрос решен","Норм","2025-05-14T04:03:24.553610Z",3773834,4.598,1,"2025-05-14T04:03:27.518264Z","","","","",""
2350,"1","{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","спасибо. все прошло очень хорошо","2025-05-14T04:03:19.315554Z",3791959,1.126,5,"2025-05-14T04:03:19.315554Z","","","","",""
2349,"1","{""choices"":[""Нравится скорость отработки заявок"",""Понравилось выполнение заявки"",""Вопрос решен""]}","Спасибо, пришли все поменяли за 10 минут ","2025-05-14T04:03:15.727946Z",3797804,1.36,5,"2025-05-14T04:03:15.727946Z","","","","",""
2348,"1","{""choices"":[""Нравится скорость отработки заявок"",""Понравилось выполнение заявки"",""Вопрос решен""]}","Все очень оперативно ","2025-05-14T04:03:11.926093Z",3799741,1.769,5,"2025-05-14T04:03:11.926093Z","","","","",""
2347,"1","{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","Огромное спасибо.","2025-05-14T04:03:06.753764Z",3802024,0.999,5,"2025-05-14T04:03:06.753764Z","","","","",""
2346,"1","{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","Все отлично! Спасибо.","2025-05-14T04:03:03.271552Z",3805876,1.111,5,"2025-05-14T04:03:03.271552Z","","","","",""
